content	size	preset	qp	bd	verdict
gradient	64	2	20	8	DIFFERS
gradient	64	4	20	8	IDENTICAL
gradient	64	6	20	8	DIFFERS
gradient	64	8	20	8	DIFFERS
gradient	64	10	20	8	IDENTICAL
gradient	64	13	20	8	IDENTICAL
gradient	64	2	32	8	IDENTICAL
gradient	64	4	32	8	IDENTICAL
gradient	64	6	32	8	IDENTICAL
gradient	64	8	32	8	IDENTICAL
gradient	64	10	32	8	IDENTICAL
gradient	64	13	32	8	IDENTICAL
gradient	64	2	45	8	IDENTICAL
gradient	64	4	45	8	IDENTICAL
gradient	64	6	45	8	IDENTICAL
gradient	64	8	45	8	IDENTICAL
gradient	64	10	45	8	IDENTICAL
gradient	64	13	45	8	IDENTICAL
gradient	64	2	55	8	IDENTICAL
gradient	64	4	55	8	IDENTICAL
gradient	64	6	55	8	IDENTICAL
gradient	64	8	55	8	IDENTICAL
gradient	64	10	55	8	IDENTICAL
gradient	64	13	55	8	IDENTICAL
gradient	64	2	20	10	DIFFERS
gradient	64	4	20	10	DIFFERS
gradient	64	6	20	10	IDENTICAL
gradient	64	8	20	10	IDENTICAL
gradient	64	10	20	10	IDENTICAL
gradient	64	13	20	10	IDENTICAL
gradient	64	2	32	10	DIFFERS
gradient	64	4	32	10	DIFFERS
gradient	64	6	32	10	DIFFERS
gradient	64	8	32	10	DIFFERS
gradient	64	10	32	10	DIFFERS
gradient	64	13	32	10	DIFFERS
gradient	64	2	45	10	DIFFERS
gradient	64	4	45	10	DIFFERS
gradient	64	6	45	10	DIFFERS
gradient	64	8	45	10	DIFFERS
gradient	64	10	45	10	DIFFERS
gradient	64	13	45	10	DIFFERS
gradient	64	2	55	10	DIFFERS
gradient	64	4	55	10	DIFFERS
gradient	64	6	55	10	DIFFERS
gradient	64	8	55	10	DIFFERS
gradient	64	10	55	10	DIFFERS
gradient	64	13	55	10	DIFFERS
gradient	128	2	20	8	DIFFERS
gradient	128	4	20	8	IDENTICAL
gradient	128	6	20	8	IDENTICAL
gradient	128	8	20	8	IDENTICAL
gradient	128	10	20	8	IDENTICAL
gradient	128	13	20	8	IDENTICAL
gradient	128	2	32	8	DIFFERS
gradient	128	4	32	8	IDENTICAL
gradient	128	6	32	8	IDENTICAL
gradient	128	8	32	8	IDENTICAL
gradient	128	10	32	8	IDENTICAL
gradient	128	13	32	8	IDENTICAL
gradient	128	2	45	8	IDENTICAL
gradient	128	4	45	8	IDENTICAL
gradient	128	6	45	8	IDENTICAL
gradient	128	8	45	8	IDENTICAL
gradient	128	10	45	8	IDENTICAL
gradient	128	13	45	8	IDENTICAL
gradient	128	2	55	8	IDENTICAL
gradient	128	4	55	8	IDENTICAL
gradient	128	6	55	8	IDENTICAL
gradient	128	8	55	8	IDENTICAL
gradient	128	10	55	8	IDENTICAL
gradient	128	13	55	8	IDENTICAL
gradient	128	2	20	10	DIFFERS
gradient	128	4	20	10	DIFFERS
gradient	128	6	20	10	DIFFERS
gradient	128	8	20	10	DIFFERS
gradient	128	10	20	10	DIFFERS
gradient	128	13	20	10	DIFFERS
gradient	128	2	32	10	DIFFERS
gradient	128	4	32	10	DIFFERS
gradient	128	6	32	10	DIFFERS
gradient	128	8	32	10	DIFFERS
gradient	128	10	32	10	DIFFERS
gradient	128	13	32	10	DIFFERS
gradient	128	2	45	10	DIFFERS
gradient	128	4	45	10	DIFFERS
gradient	128	6	45	10	DIFFERS
gradient	128	8	45	10	DIFFERS
gradient	128	10	45	10	DIFFERS
gradient	128	13	45	10	DIFFERS
gradient	128	2	55	10	DIFFERS
gradient	128	4	55	10	DIFFERS
gradient	128	6	55	10	DIFFERS
gradient	128	8	55	10	DIFFERS
gradient	128	10	55	10	DIFFERS
gradient	128	13	55	10	DIFFERS
gradient	256	2	20	8	DIFFERS
gradient	256	4	20	8	DIFFERS
gradient	256	6	20	8	DIFFERS
gradient	256	8	20	8	DIFFERS
gradient	256	10	20	8	IDENTICAL
gradient	256	13	20	8	IDENTICAL
gradient	256	2	32	8	DIFFERS
gradient	256	4	32	8	DIFFERS
gradient	256	6	32	8	DIFFERS
gradient	256	8	32	8	DIFFERS
gradient	256	10	32	8	DIFFERS
gradient	256	13	32	8	DIFFERS
gradient	256	2	45	8	DIFFERS
gradient	256	4	45	8	DIFFERS
gradient	256	6	45	8	DIFFERS
gradient	256	8	45	8	DIFFERS
gradient	256	10	45	8	IDENTICAL
gradient	256	13	45	8	IDENTICAL
gradient	256	2	55	8	DIFFERS
gradient	256	4	55	8	DIFFERS
gradient	256	6	55	8	DIFFERS
gradient	256	8	55	8	DIFFERS
gradient	256	10	55	8	IDENTICAL
gradient	256	13	55	8	IDENTICAL
gradient	256	2	20	10	DIFFERS
gradient	256	4	20	10	DIFFERS
gradient	256	6	20	10	DIFFERS
gradient	256	8	20	10	DIFFERS
gradient	256	10	20	10	DIFFERS
gradient	256	13	20	10	DIFFERS
gradient	256	2	32	10	DIFFERS
gradient	256	4	32	10	DIFFERS
gradient	256	6	32	10	DIFFERS
gradient	256	8	32	10	DIFFERS
gradient	256	10	32	10	DIFFERS
gradient	256	13	32	10	DIFFERS
gradient	256	2	45	10	DIFFERS
gradient	256	4	45	10	DIFFERS
gradient	256	6	45	10	DIFFERS
gradient	256	8	45	10	DIFFERS
gradient	256	10	45	10	DIFFERS
gradient	256	13	45	10	DIFFERS
gradient	256	2	55	10	DIFFERS
gradient	256	4	55	10	DIFFERS
gradient	256	6	55	10	DIFFERS
gradient	256	8	55	10	DIFFERS
gradient	256	10	55	10	DIFFERS
gradient	256	13	55	10	DIFFERS
photo	64	2	20	8	DIFFERS
photo	64	4	20	8	DIFFERS
photo	64	6	20	8	DIFFERS
photo	64	8	20	8	DIFFERS
photo	64	10	20	8	IDENTICAL
photo	64	13	20	8	IDENTICAL
photo	64	2	32	8	DIFFERS
photo	64	4	32	8	IDENTICAL
photo	64	6	32	8	DIFFERS
photo	64	8	32	8	DIFFERS
photo	64	10	32	8	DIFFERS
photo	64	13	32	8	DIFFERS
photo	64	2	45	8	DIFFERS
photo	64	4	45	8	IDENTICAL
photo	64	6	45	8	DIFFERS
photo	64	8	45	8	DIFFERS
photo	64	10	45	8	DIFFERS
photo	64	13	45	8	DIFFERS
photo	64	2	55	8	DIFFERS
photo	64	4	55	8	IDENTICAL
photo	64	6	55	8	IDENTICAL
photo	64	8	55	8	IDENTICAL
photo	64	10	55	8	IDENTICAL
photo	64	13	55	8	IDENTICAL
photo	64	2	20	10	DIFFERS
photo	64	4	20	10	DIFFERS
photo	64	6	20	10	DIFFERS
photo	64	8	20	10	DIFFERS
photo	64	10	20	10	DIFFERS
photo	64	13	20	10	DIFFERS
photo	64	2	32	10	DIFFERS
photo	64	4	32	10	DIFFERS
photo	64	6	32	10	DIFFERS
photo	64	8	32	10	DIFFERS
photo	64	10	32	10	DIFFERS
photo	64	13	32	10	DIFFERS
photo	64	2	45	10	DIFFERS
photo	64	4	45	10	DIFFERS
photo	64	6	45	10	DIFFERS
photo	64	8	45	10	DIFFERS
photo	64	10	45	10	DIFFERS
photo	64	13	45	10	DIFFERS
photo	64	2	55	10	DIFFERS
photo	64	4	55	10	DIFFERS
photo	64	6	55	10	DIFFERS
photo	64	8	55	10	DIFFERS
photo	64	10	55	10	DIFFERS
photo	64	13	55	10	DIFFERS
photo	128	2	20	8	DIFFERS
photo	128	4	20	8	DIFFERS
photo	128	6	20	8	DIFFERS
photo	128	8	20	8	DIFFERS
photo	128	10	20	8	DIFFERS
photo	128	13	20	8	DIFFERS
photo	128	2	32	8	DIFFERS
photo	128	4	32	8	DIFFERS
photo	128	6	32	8	DIFFERS
photo	128	8	32	8	DIFFERS
photo	128	10	32	8	DIFFERS
photo	128	13	32	8	DIFFERS
photo	128	2	45	8	DIFFERS
photo	128	4	45	8	DIFFERS
photo	128	6	45	8	DIFFERS
photo	128	8	45	8	DIFFERS
photo	128	10	45	8	DIFFERS
photo	128	13	45	8	DIFFERS
photo	128	2	55	8	DIFFERS
photo	128	4	55	8	IDENTICAL
photo	128	6	55	8	IDENTICAL
photo	128	8	55	8	IDENTICAL
photo	128	10	55	8	DIFFERS
photo	128	13	55	8	DIFFERS
photo	128	2	20	10	DIFFERS
photo	128	4	20	10	DIFFERS
photo	128	6	20	10	DIFFERS
photo	128	8	20	10	DIFFERS
photo	128	10	20	10	DIFFERS
photo	128	13	20	10	DIFFERS
photo	128	2	32	10	DIFFERS
photo	128	4	32	10	DIFFERS
photo	128	6	32	10	DIFFERS
photo	128	8	32	10	DIFFERS
photo	128	10	32	10	DIFFERS
photo	128	13	32	10	DIFFERS
photo	128	2	45	10	DIFFERS
photo	128	4	45	10	DIFFERS
photo	128	6	45	10	DIFFERS
photo	128	8	45	10	DIFFERS
photo	128	10	45	10	DIFFERS
photo	128	13	45	10	DIFFERS
photo	128	2	55	10	DIFFERS
photo	128	4	55	10	DIFFERS
photo	128	6	55	10	DIFFERS
photo	128	8	55	10	DIFFERS
photo	128	10	55	10	DIFFERS
photo	128	13	55	10	DIFFERS
photo	256	2	20	8	DIFFERS
photo	256	4	20	8	DIFFERS
photo	256	6	20	8	DIFFERS
photo	256	8	20	8	DIFFERS
photo	256	10	20	8	DIFFERS
photo	256	13	20	8	DIFFERS
photo	256	2	32	8	DIFFERS
photo	256	4	32	8	DIFFERS
photo	256	6	32	8	DIFFERS
photo	256	8	32	8	DIFFERS
photo	256	10	32	8	DIFFERS
photo	256	13	32	8	DIFFERS
photo	256	2	45	8	DIFFERS
photo	256	4	45	8	DIFFERS
photo	256	6	45	8	DIFFERS
photo	256	8	45	8	DIFFERS
photo	256	10	45	8	DIFFERS
photo	256	13	45	8	DIFFERS
photo	256	2	55	8	DIFFERS
photo	256	4	55	8	DIFFERS
photo	256	6	55	8	DIFFERS
photo	256	8	55	8	DIFFERS
photo	256	10	55	8	DIFFERS
photo	256	13	55	8	DIFFERS
photo	256	2	20	10	DIFFERS
photo	256	4	20	10	DIFFERS
photo	256	6	20	10	DIFFERS
photo	256	8	20	10	DIFFERS
photo	256	10	20	10	DIFFERS
photo	256	13	20	10	DIFFERS
photo	256	2	32	10	DIFFERS
photo	256	4	32	10	DIFFERS
photo	256	6	32	10	DIFFERS
photo	256	8	32	10	DIFFERS
photo	256	10	32	10	DIFFERS
photo	256	13	32	10	DIFFERS
photo	256	2	45	10	DIFFERS
photo	256	4	45	10	DIFFERS
photo	256	6	45	10	DIFFERS
photo	256	8	45	10	DIFFERS
photo	256	10	45	10	DIFFERS
photo	256	13	45	10	DIFFERS
photo	256	2	55	10	DIFFERS
photo	256	4	55	10	DIFFERS
photo	256	6	55	10	DIFFERS
photo	256	8	55	10	DIFFERS
photo	256	10	55	10	DIFFERS
photo	256	13	55	10	DIFFERS
