content	size	qp	preset	frames	verdict
fourpeople	128	20	-1	8	TU1
fourpeople	128	20	0	8	TU1
fourpeople	128	20	1	8	TU1
fourpeople	128	20	2	8	TU1
fourpeople	128	20	3	8	TU4
fourpeople	128	20	4	8	IDENTICAL
fourpeople	128	20	5	8	IDENTICAL
fourpeople	128	20	6	8	IDENTICAL
fourpeople	128	20	7	8	IDENTICAL
fourpeople	128	20	8	8	IDENTICAL
fourpeople	128	20	9	8	IDENTICAL
fourpeople	128	20	10	8	IDENTICAL
fourpeople	128	20	11	8	TU2
fourpeople	128	20	12	8	TU2
fourpeople	128	20	13	8	TU2
fourpeople	128	40	-1	8	TU7
fourpeople	128	40	0	8	IDENTICAL
fourpeople	128	40	1	8	IDENTICAL
fourpeople	128	40	2	8	TU2
fourpeople	128	40	3	8	IDENTICAL
fourpeople	128	40	4	8	IDENTICAL
fourpeople	128	40	5	8	IDENTICAL
fourpeople	128	40	6	8	IDENTICAL
fourpeople	128	40	7	8	IDENTICAL
fourpeople	128	40	8	8	IDENTICAL
fourpeople	128	40	9	8	IDENTICAL
fourpeople	128	40	10	8	IDENTICAL
fourpeople	128	40	11	8	IDENTICAL
fourpeople	128	40	12	8	IDENTICAL
fourpeople	128	40	13	8	IDENTICAL
fourpeople	128	55	-1	8	TU2
fourpeople	128	55	0	8	TU2
fourpeople	128	55	1	8	TU2
fourpeople	128	55	2	8	TU2
fourpeople	128	55	3	8	TU2
fourpeople	128	55	4	8	IDENTICAL
fourpeople	128	55	5	8	IDENTICAL
fourpeople	128	55	6	8	IDENTICAL
fourpeople	128	55	7	8	IDENTICAL
fourpeople	128	55	8	8	IDENTICAL
fourpeople	128	55	9	8	IDENTICAL
fourpeople	128	55	10	8	IDENTICAL
fourpeople	128	55	11	8	IDENTICAL
fourpeople	128	55	12	8	IDENTICAL
fourpeople	128	55	13	8	IDENTICAL
fourpeople	256	20	-1	8	TU1
fourpeople	256	20	0	8	TU1
fourpeople	256	20	1	8	TU1
fourpeople	256	20	2	8	TU1
fourpeople	256	20	3	8	TU3
fourpeople	256	20	4	8	IDENTICAL
fourpeople	256	20	5	8	TU3
fourpeople	256	20	6	8	IDENTICAL
fourpeople	256	20	7	8	IDENTICAL
fourpeople	256	20	8	8	IDENTICAL
fourpeople	256	20	9	8	IDENTICAL
fourpeople	256	20	10	8	IDENTICAL
fourpeople	256	20	11	8	TU1
